dataset_id,table_id
statista,top_10_apps_gp_downloads_overall20190131
statista,top_10_apps_gp_downloads_overall20190228
statista,top_10_apps_gp_downloads_overall20190331
statista,top_10_apps_gp_downloads_overall20190430
statista,top_10_apps_gp_downloads_overall20190531
statista,top_10_apps_gp_downloads_overall20190630
statista,top_10_apps_gp_downloads_overall20190731
statista,top_10_apps_gp_downloads_overall20190831
statista,top_10_apps_gp_downloads_overall20190930
statista,top_10_apps_gp_downloads_overall20191031
statista,top_10_apps_gp_downloads_overall20191130
statista,top_10_apps_gp_downloads_overall20191231
statista,top_10_apps_gp_downloads_overall20200131
statista,top_10_apps_gp_downloads_overall20200229
statista,top_10_apps_gp_downloads_overall20200331
statista,top_10_apps_gp_downloads_overall20200430
statista,top_10_apps_gp_downloads_overall20200531
statista,top_10_apps_gp_downloads_overall20200630
statista,top_10_apps_gp_downloads_overall20200731
statista,top_10_apps_gp_downloads_overall20200831
statista,top_10_apps_gp_downloads_overall20200930
statista,top_10_apps_gp_downloads_overall20201031
statista,top_10_apps_gp_downloads_overall20201130
statista,top_10_apps_gp_downloads_overall20201231
statista,top_10_apps_gp_downloads_overall20210131
statista,top_10_apps_gp_downloads_overall20210228
statista,top_10_apps_gp_downloads_overall20210331
statista,top_10_apps_gp_downloads_overall20210430
statista,top_10_apps_gp_downloads_overall20210531
statista,top_10_apps_gp_downloads_overall20210630
statista,top_10_apps_gp_downloads_overall20210731
statista,top_10_apps_gp_downloads_overall20210831
statista,top_10_apps_gp_downloads_overall20210930
statista,top_10_apps_gp_downloads_overall20211031
statista,top_10_apps_gp_downloads_overall20211130
statista,top_10_apps_gp_downloads_overall20211231
statista,top_10_apps_gp_downloads_overall20220131
statista,top_10_apps_gp_downloads_overall20220228
statista,top_10_apps_gp_downloads_overall20220331
statista,top_10_apps_gp_downloads_overall20220430
statista,top_10_apps_gp_downloads_overall20220531
statista,top_10_apps_gp_downloads_overall20220630
statista,top_10_apps_gp_downloads_overall20220731
statista,top_10_apps_gp_downloads_overall20220831
statista,top_10_apps_gp_downloads_overall20220930
statista,top_10_apps_gp_revenue_category20161231
statista,top_10_apps_gp_revenue_category20170228
statista,top_10_apps_gp_revenue_category20170331
statista,top_10_apps_gp_revenue_category20170430
statista,top_10_apps_gp_revenue_category20170531
statista,top_10_apps_gp_revenue_category20170630
statista,top_10_apps_gp_revenue_category20170731
statista,top_10_apps_gp_revenue_category20170831
statista,top_10_apps_gp_revenue_category20170930
statista,top_10_apps_gp_revenue_category20171031
statista,top_10_apps_gp_revenue_category20171130
statista,top_10_apps_gp_revenue_category20171205
statista,top_10_apps_gp_revenue_category20171231
statista,top_10_apps_gp_revenue_category20180131
statista,top_10_apps_gp_revenue_category20180228
statista,top_10_apps_gp_revenue_category20180331
statista,top_10_apps_gp_revenue_category20180430
statista,top_10_apps_gp_revenue_category20180531
statista,top_10_apps_gp_revenue_category20180630
statista,top_10_apps_gp_revenue_category20180731
statista,top_10_apps_gp_revenue_category20180831
statista,top_10_apps_gp_revenue_category20180930
statista,top_10_apps_gp_revenue_category20181031
statista,top_10_apps_gp_revenue_category20181130
statista,top_10_apps_gp_revenue_category20181231
statista,top_10_apps_gp_revenue_category20190131
statista,top_10_apps_gp_revenue_category20190228
statista,top_10_apps_gp_revenue_category20190331
statista,top_10_apps_gp_revenue_category20190430
statista,top_10_apps_gp_revenue_category20190531
statista,top_10_apps_gp_revenue_category20190630
statista,top_10_apps_gp_revenue_category20190731
statista,top_10_apps_gp_revenue_category20190831
statista,top_10_apps_gp_revenue_category20190930
statista,top_10_apps_gp_revenue_category20191031
statista,top_10_apps_gp_revenue_category20191130
statista,top_10_apps_gp_revenue_category20191231
statista,top_10_apps_gp_revenue_category20200131
statista,top_10_apps_gp_revenue_category20200229
statista,top_10_apps_gp_revenue_category20200331
statista,top_10_apps_gp_revenue_category20200430
statista,top_10_apps_gp_revenue_category20200531
statista,top_10_apps_gp_revenue_category20200630
statista,top_10_apps_gp_revenue_category20200731
statista,top_10_apps_gp_revenue_category20200831
statista,top_10_apps_gp_revenue_category20200930
statista,top_10_apps_gp_revenue_category20201031
statista,top_10_apps_gp_revenue_category20201130
statista,top_10_apps_gp_revenue_category20201231
statista,top_10_apps_gp_revenue_category20210131
statista,top_10_apps_gp_revenue_category20210228
statista,top_10_apps_gp_revenue_category20210331
statista,top_10_apps_gp_revenue_category20210430
statista,top_10_apps_gp_revenue_category20210531
statista,top_10_apps_gp_revenue_category20210630
statista,top_10_apps_gp_revenue_category20210731
statista,top_10_apps_gp_revenue_category20210831
statista,top_10_apps_gp_revenue_category20210930
statista,top_10_apps_gp_revenue_category20211031
statista,top_10_apps_gp_revenue_category20211130
statista,top_10_apps_gp_revenue_category20211231
statista,top_10_apps_gp_revenue_category20220131
statista,top_10_apps_gp_revenue_category20220228
statista,top_10_apps_gp_revenue_category20220331
statista,top_10_apps_gp_revenue_category20220430
statista,top_10_apps_gp_revenue_category20220531
statista,top_10_apps_gp_revenue_category20220630
statista,top_10_apps_gp_revenue_category20220731
statista,top_10_apps_gp_revenue_category20220831
statista,top_10_apps_gp_revenue_category20220930
statista,top_10_apps_gp_revenue_overall20161231
statista,top_10_apps_gp_revenue_overall20170228
statista,top_10_apps_gp_revenue_overall20170331
statista,top_10_apps_gp_revenue_overall20170430
statista,top_10_apps_gp_revenue_overall20170531
statista,top_10_apps_gp_revenue_overall20170630
statista,top_10_apps_gp_revenue_overall20170731
statista,top_10_apps_gp_revenue_overall20170831
statista,top_10_apps_gp_revenue_overall20170930
statista,top_10_apps_gp_revenue_overall20171031
statista,top_10_apps_gp_revenue_overall20171130
statista,top_10_apps_gp_revenue_overall20171205
statista,top_10_apps_gp_revenue_overall20171231
statista,top_10_apps_gp_revenue_overall20180131
statista,top_10_apps_gp_revenue_overall20180228
statista,top_10_apps_gp_revenue_overall20180331
statista,top_10_apps_gp_revenue_overall20180430
statista,top_10_apps_gp_revenue_overall20180531
statista,top_10_apps_gp_revenue_overall20180630
statista,top_10_apps_gp_revenue_overall20180731
statista,top_10_apps_gp_revenue_overall20180831
statista,top_10_apps_gp_revenue_overall20180930
statista,top_10_apps_gp_revenue_overall20181031
statista,top_10_apps_gp_revenue_overall20181130
statista,top_10_apps_gp_revenue_overall20181231
statista,top_10_apps_gp_revenue_overall20190131
statista,top_10_apps_gp_revenue_overall20190228
statista,top_10_apps_gp_revenue_overall20190331
statista,top_10_apps_gp_revenue_overall20190430
statista,top_10_apps_gp_revenue_overall20190531
statista,top_10_apps_gp_revenue_overall20190630
statista,top_10_apps_gp_revenue_overall20190731
statista,top_10_apps_gp_revenue_overall20190831
statista,top_10_apps_gp_revenue_overall20190930
statista,top_10_apps_gp_revenue_overall20191031
statista,top_10_apps_gp_revenue_overall20191130
statista,top_10_apps_gp_revenue_overall20191231
statista,top_10_apps_gp_revenue_overall20200131
statista,top_10_apps_gp_revenue_overall20200229
statista,top_10_apps_gp_revenue_overall20200331
statista,top_10_apps_gp_revenue_overall20200430
statista,top_10_apps_gp_revenue_overall20200531
statista,top_10_apps_gp_revenue_overall20200630
statista,top_10_apps_gp_revenue_overall20200731
statista,top_10_apps_gp_revenue_overall20200831
statista,top_10_apps_gp_revenue_overall20200930
statista,top_10_apps_gp_revenue_overall20201031
statista,top_10_apps_gp_revenue_overall20201130
statista,top_10_apps_gp_revenue_overall20201231
statista,top_10_apps_gp_revenue_overall20210131
statista,top_10_apps_gp_revenue_overall20210228
statista,top_10_apps_gp_revenue_overall20210331
statista,top_10_apps_gp_revenue_overall20210430
statista,top_10_apps_gp_revenue_overall20210531
statista,top_10_apps_gp_revenue_overall20210630
statista,top_10_apps_gp_revenue_overall20210731
statista,top_10_apps_gp_revenue_overall20210831
statista,top_10_apps_gp_revenue_overall20210930
statista,top_10_apps_gp_revenue_overall20211031
statista,top_10_apps_gp_revenue_overall20211130
statista,top_10_apps_gp_revenue_overall20211231
statista,top_10_apps_gp_revenue_overall20220131
statista,top_10_apps_gp_revenue_overall20220228
statista,top_10_apps_gp_revenue_overall20220331
statista,top_10_apps_gp_revenue_overall20220430
statista,top_10_apps_gp_revenue_overall20220531
statista,top_10_apps_gp_revenue_overall20220630
statista,top_10_apps_gp_revenue_overall20220731
statista,top_10_apps_gp_revenue_overall20220831
statista,top_10_apps_gp_revenue_overall20220930
statista,top_10_apps_ios_base20161231
statista,top_10_apps_ios_base20170228
statista,top_10_apps_ios_base20170331
statista,top_10_apps_ios_base20170430
statista,top_10_apps_ios_base20170531
statista,top_10_apps_ios_base20170630
statista,top_10_apps_ios_base20170731
statista,top_10_apps_ios_base20170831
statista,top_10_apps_ios_base20170930
statista,top_10_apps_ios_base20171031
statista,top_10_apps_ios_base20171130
statista,top_10_apps_ios_base20171205
statista,top_10_apps_ios_base20171231
statista,top_10_apps_ios_base20180131
statista,top_10_apps_ios_base20180228
statista,top_10_apps_ios_base20180331
statista,top_10_apps_ios_base20180430
statista,top_10_apps_ios_base20180531
statista,top_10_apps_ios_base20180630
statista,top_10_apps_ios_base20180731
statista,top_10_apps_ios_base20180831
statista,top_10_apps_ios_base20180930
statista,top_10_apps_ios_base20181031
statista,top_10_apps_ios_base20181130
statista,top_10_apps_ios_base20181231
statista,top_10_apps_ios_base20190131
statista,top_10_apps_ios_base20190228
statista,top_10_apps_ios_base20190331
statista,top_10_apps_ios_base20190430
statista,top_10_apps_ios_base20190531
statista,top_10_apps_ios_base20190630
statista,top_10_apps_ios_base20190731
statista,top_10_apps_ios_base20190831
statista,top_10_apps_ios_base20190930
statista,top_10_apps_ios_base20191031
statista,top_10_apps_ios_base20191130
statista,top_10_apps_ios_base20191231
statista,top_10_apps_ios_base20200131
statista,top_10_apps_ios_base20200229
statista,top_10_apps_ios_base20200331
statista,top_10_apps_ios_base20200430
statista,top_10_apps_ios_base20200531
statista,top_10_apps_ios_base20200630
statista,top_10_apps_ios_base20200731
statista,top_10_apps_ios_base20200831
statista,top_10_apps_ios_base20200930
statista,top_10_apps_ios_base20201031
statista,top_10_apps_ios_base20201130
statista,top_10_apps_ios_base20201231
statista,top_10_apps_ios_base20210131
statista,top_10_apps_ios_base20210228
statista,top_10_apps_ios_base20210331
statista,top_10_apps_ios_base20210430
statista,top_10_apps_ios_base20210531
statista,top_10_apps_ios_base20210630
statista,top_10_apps_ios_base20210731
statista,top_10_apps_ios_base20210831
statista,top_10_apps_ios_base20210930
statista,top_10_apps_ios_base20211031
statista,top_10_apps_ios_base20211130
statista,top_10_apps_ios_base20211231
statista,top_10_apps_ios_base20220131
statista,top_10_apps_ios_base20220228
statista,top_10_apps_ios_base20220331
statista,top_10_apps_ios_base20220430
statista,top_10_apps_ios_base20220531
statista,top_10_apps_ios_base20220630
statista,top_10_apps_ios_base20220731
statista,top_10_apps_ios_base20220831
statista,top_10_apps_ios_base20220930
statista,top_10_apps_ios_dau_ipad_category20171031
statista,top_10_apps_ios_dau_ipad_category20171130
statista,top_10_apps_ios_dau_ipad_category20171205
statista,top_10_apps_ios_dau_ipad_category20171231
statista,top_10_apps_ios_dau_ipad_category20180131
statista,top_10_apps_ios_dau_ipad_category20180228
statista,top_10_apps_ios_dau_ipad_category20180331
statista,top_10_apps_ios_dau_ipad_category20180430
statista,top_10_apps_ios_dau_ipad_category20180531
statista,top_10_apps_ios_dau_ipad_category20180630
statista,top_10_apps_ios_dau_ipad_category20180731
statista,top_10_apps_ios_dau_ipad_category20180831
statista,top_10_apps_ios_dau_ipad_category20180930
statista,top_10_apps_ios_dau_ipad_category20181031
statista,top_10_apps_ios_dau_ipad_category20181130
statista,top_10_apps_ios_dau_ipad_category20181231
statista,top_10_apps_ios_dau_ipad_category20190131
statista,top_10_apps_ios_dau_ipad_category20190228
statista,top_10_apps_ios_dau_ipad_category20190331
statista,top_10_apps_ios_dau_ipad_category20190430
statista,top_10_apps_ios_dau_ipad_category20190531
statista,top_10_apps_ios_dau_ipad_category20190630
statista,top_10_apps_ios_dau_ipad_category20190731
statista,top_10_apps_ios_dau_ipad_category20190831
statista,top_10_apps_ios_dau_ipad_category20190930
statista,top_10_apps_ios_dau_ipad_category20191031
statista,top_10_apps_ios_dau_ipad_category20191130
statista,top_10_apps_ios_dau_ipad_category20191231
statista,top_10_apps_ios_dau_ipad_category20200131
statista,top_10_apps_ios_dau_ipad_category20200229
statista,top_10_apps_ios_dau_ipad_category20200331
statista,top_10_apps_ios_dau_ipad_category20200430
statista,top_10_apps_ios_dau_ipad_category20200531
statista,top_10_apps_ios_dau_ipad_category20200630
statista,top_10_apps_ios_dau_ipad_category20200731
statista,top_10_apps_ios_dau_ipad_category20200831
statista,top_10_apps_ios_dau_ipad_category20200930
statista,top_10_apps_ios_dau_ipad_category20201031
statista,top_10_apps_ios_dau_ipad_category20201130
statista,top_10_apps_ios_dau_ipad_category20201231
statista,top_10_apps_ios_dau_ipad_category20210131
statista,top_10_apps_ios_dau_ipad_category20210228
statista,top_10_apps_ios_dau_ipad_category20210331
statista,top_10_apps_ios_dau_ipad_category20210430
statista,top_10_apps_ios_dau_ipad_category20210531
statista,top_10_apps_ios_dau_ipad_category20210630
statista,top_10_apps_ios_dau_ipad_category20210731
statista,top_10_apps_ios_dau_ipad_category20210831
statista,top_10_apps_ios_dau_ipad_category20210930
statista,top_10_apps_ios_dau_ipad_category20211031
statista,top_10_apps_ios_dau_ipad_category20211130
statista,top_10_apps_ios_dau_ipad_category20211231
statista,top_10_apps_ios_dau_ipad_category20220131
statista,top_10_apps_ios_dau_ipad_category20220228
statista,top_10_apps_ios_dau_ipad_category20220331
statista,top_10_apps_ios_dau_ipad_category20220430
statista,top_10_apps_ios_dau_ipad_category20220531
statista,top_10_apps_ios_dau_ipad_category20220630
statista,top_10_apps_ios_dau_ipad_category20220731
statista,top_10_apps_ios_dau_ipad_category20220831
statista,top_10_apps_ios_dau_ipad_category20220930
statista,top_10_apps_ios_dau_ipad_overall20171031
statista,top_10_apps_ios_dau_ipad_overall20171130
statista,top_10_apps_ios_dau_ipad_overall20171205
statista,top_10_apps_ios_dau_ipad_overall20171231
statista,top_10_apps_ios_dau_ipad_overall20180131
statista,top_10_apps_ios_dau_ipad_overall20180228
statista,top_10_apps_ios_dau_ipad_overall20180331
statista,top_10_apps_ios_dau_ipad_overall20180430
statista,top_10_apps_ios_dau_ipad_overall20180531
statista,top_10_apps_ios_dau_ipad_overall20180630
statista,top_10_apps_ios_dau_ipad_overall20180731
statista,top_10_apps_ios_dau_ipad_overall20180831
statista,top_10_apps_ios_dau_ipad_overall20180930
statista,top_10_apps_ios_dau_ipad_overall20181031
statista,top_10_apps_ios_dau_ipad_overall20181130
statista,top_10_apps_ios_dau_ipad_overall20181231
statista,top_10_apps_ios_dau_ipad_overall20190131
statista,top_10_apps_ios_dau_ipad_overall20190228
statista,top_10_apps_ios_dau_ipad_overall20190331
statista,top_10_apps_ios_dau_ipad_overall20190430
statista,top_10_apps_ios_dau_ipad_overall20190531
